date,shift,machine_id,machine_name,machine_type,machine_age_years,operator_id,product_code,planned_production_time_min,downtime_minutes,downtime_reason,actual_run_time_min,ideal_cycle_time_min,actual_cycle_time_min,ideal_units_possible,units_produced,units_good,units_defective
1/1/24,Morning (6AM-2PM),MC-101,CNC Lathe A,CNC Lathe,8,OP-013,Valve-D,480,47,Changeover,433,0.52,0.6459,693,670,644,26
1/1/24,Morning (6AM-2PM),MC-102,CNC Lathe B,CNC Lathe,12,OP-009,Bracket-A,480,0,None,480,0.58,0.6323,827,759,692,67
1/1/24,Morning (6AM-2PM),MC-103,Injection Molder 1,Injection Molder,5,OP-020,Bracket-A,480,0,None,480,0.31,0.3152,1548,1522,1485,37
1/1/24,Morning (6AM-2PM),MC-104,Injection Molder 2,Injection Molder,15,OP-007,Connector-E,480,0,None,480,0.35,0.3591,1523,1336,1185,151
1/1/24,Morning (6AM-2PM),MC-105,Assembly Line A,Assembly,3,OP-005,Housing-B,480,0,None,480,0.68,0.9355,542,513,500,13
1/1/24,Morning (6AM-2PM),MC-106,Assembly Line B,Assembly,10,OP-003,Gear-C,480,173,Unplanned Breakdown,307,0.72,1.1502,284,266,248,18
1/1/24,Morning (6AM-2PM),MC-107,Stamping Press 1,Stamping Press,7,OP-014,Bracket-A,480,40,Changeover,440,0.21,0.2331,2095,1887,1843,44
1/1/24,Morning (6AM-2PM),MC-108,Stamping Press 2,Stamping Press,18,OP-007,Connector-E,480,0,None,480,0.24,0.2537,2222,1891,1698,193
1/1/24,Afternoon (2PM-10PM),MC-101,CNC Lathe A,CNC Lathe,8,OP-006,Housing-B,480,0,None,480,0.52,0.7663,710,626,580,46
1/1/24,Afternoon (2PM-10PM),MC-102,CNC Lathe B,CNC Lathe,12,OP-006,Connector-E,480,39,Planned Maintenance,441,0.58,0.5759,844,765,705,60
1/1/24,Afternoon (2PM-10PM),MC-103,Injection Molder 1,Injection Molder,5,OP-003,Valve-D,480,0,None,480,0.31,0.4172,1290,1150,1128,22
1/1/24,Afternoon (2PM-10PM),MC-104,Injection Molder 2,Injection Molder,15,OP-001,Connector-E,480,0,None,480,0.35,0.3587,1523,1338,1214,124
1/1/24,Afternoon (2PM-10PM),MC-105,Assembly Line A,Assembly,3,OP-002,Housing-B,480,43,Changeover,437,0.68,0.9728,494,449,438,11
1/1/24,Afternoon (2PM-10PM),MC-106,Assembly Line B,Assembly,10,OP-012,Housing-B,480,0,None,480,0.72,1.1084,512,433,410,23
1/1/24,Afternoon (2PM-10PM),MC-107,Stamping Press 1,Stamping Press,7,OP-005,Connector-E,480,0,None,480,0.21,0.2026,2539,2369,2318,51
1/1/24,Afternoon (2PM-10PM),MC-108,Stamping Press 2,Stamping Press,18,OP-006,Gear-C,480,45,Material Shortage,435,0.24,0.4426,1208,982,750,232
1/1/24,Night (10PM-6AM),MC-101,CNC Lathe A,CNC Lathe,8,OP-016,Gear-C,480,55,Changeover,425,0.52,0.906,544,469,432,37
1/1/24,Night (10PM-6AM),MC-102,CNC Lathe B,CNC Lathe,12,OP-003,Housing-B,480,0,None,480,0.58,0.8821,636,544,477,67
1/1/24,Night (10PM-6AM),MC-103,Injection Molder 1,Injection Molder,5,OP-007,Gear-C,480,0,None,480,0.31,0.5491,1032,874,840,34
1/1/24,Night (10PM-6AM),MC-104,Injection Molder 2,Injection Molder,15,OP-013,Valve-D,480,0,None,480,0.35,0.5436,1142,883,773,110
1/1/24,Night (10PM-6AM),MC-105,Assembly Line A,Assembly,3,OP-002,Housing-B,480,0,None,480,0.68,1.07,542,448,440,8
1/1/24,Night (10PM-6AM),MC-106,Assembly Line B,Assembly,10,OP-008,Valve-D,480,0,None,480,0.72,1.0968,555,437,414,23
1/1/24,Night (10PM-6AM),MC-107,Stamping Press 1,Stamping Press,7,OP-004,Gear-C,480,0,None,480,0.21,0.3683,1523,1303,1227,76
1/1/24,Night (10PM-6AM),MC-108,Stamping Press 2,Stamping Press,18,OP-013,Housing-B,480,0,None,480,0.24,0.3935,1538,1219,959,260
1/2/24,Morning (6AM-2PM),MC-101,CNC Lathe A,CNC Lathe,8,OP-014,Valve-D,480,0,None,480,0.52,0.6345,769,756,722,34
1/2/24,Morning (6AM-2PM),MC-102,CNC Lathe B,CNC Lathe,12,OP-016,Gear-C,480,84,Material Shortage,396,0.58,0.9206,455,430,367,63
1/2/24,Morning (6AM-2PM),MC-103,Injection Molder 1,Injection Molder,5,OP-020,Valve-D,480,36,Material Shortage,444,0.31,0.3983,1193,1114,1084,30
1/2/24,Morning (6AM-2PM),MC-104,Injection Molder 2,Injection Molder,15,OP-015,Connector-E,480,41,Changeover,439,0.35,0.3615,1393,1214,1115,99
1/2/24,Morning (6AM-2PM),MC-105,Assembly Line A,Assembly,3,OP-010,Gear-C,480,56,Changeover,424,0.68,1.0803,415,392,381,11
1/2/24,Morning (6AM-2PM),MC-106,Assembly Line B,Assembly,10,OP-014,Gear-C,480,42,Changeover,438,0.72,1.2075,405,362,329,33
1/2/24,Morning (6AM-2PM),MC-107,Stamping Press 1,Stamping Press,7,OP-004,Bracket-A,480,30,Changeover,450,0.21,0.2183,2142,2061,1987,74
1/2/24,Morning (6AM-2PM),MC-108,Stamping Press 2,Stamping Press,18,OP-017,Housing-B,480,0,None,480,0.24,0.3648,1538,1315,1134,181
1/2/24,Afternoon (2PM-10PM),MC-101,CNC Lathe A,CNC Lathe,8,OP-015,Valve-D,480,0,None,480,0.52,0.6777,769,708,683,25
1/2/24,Afternoon (2PM-10PM),MC-102,CNC Lathe B,CNC Lathe,12,OP-010,Bracket-A,480,203,Unplanned Breakdown,277,0.58,0.6962,477,397,368,29
1/2/24,Afternoon (2PM-10PM),MC-103,Injection Molder 1,Injection Molder,5,OP-018,Gear-C,480,0,None,480,0.31,0.4974,1032,965,943,22
1/2/24,Afternoon (2PM-10PM),MC-104,Injection Molder 2,Injection Molder,15,OP-013,Valve-D,480,34,Material Shortage,446,0.35,0.4782,1061,932,790,142
1/2/24,Afternoon (2PM-10PM),MC-105,Assembly Line A,Assembly,3,OP-013,Valve-D,480,0,None,480,0.68,0.8996,588,533,522,11
1/2/24,Afternoon (2PM-10PM),MC-106,Assembly Line B,Assembly,10,OP-009,Gear-C,480,38,Changeover,442,0.72,1.2331,409,358,321,37
1/2/24,Afternoon (2PM-10PM),MC-107,Stamping Press 1,Stamping Press,7,OP-006,Valve-D,480,0,None,480,0.21,0.2836,1904,1692,1621,71
1/2/24,Afternoon (2PM-10PM),MC-108,Stamping Press 2,Stamping Press,18,OP-006,Valve-D,480,211,Unplanned Breakdown,269,0.24,0.3568,934,753,638,115
1/2/24,Night (10PM-6AM),MC-101,CNC Lathe A,CNC Lathe,8,OP-011,Bracket-A,480,0,None,480,0.52,0.601,923,798,760,38
1/2/24,Night (10PM-6AM),MC-102,CNC Lathe B,CNC Lathe,12,OP-019,Bracket-A,480,0,None,480,0.58,0.7264,827,660,606,54
1/2/24,Night (10PM-6AM),MC-103,Injection Molder 1,Injection Molder,5,OP-009,Valve-D,480,25,Material Shortage,455,0.31,0.4641,1223,980,957,23
1/2/24,Night (10PM-6AM),MC-104,Injection Molder 2,Injection Molder,15,OP-011,Bracket-A,480,46,Changeover,434,0.35,0.4285,1240,1012,887,125
1/2/24,Night (10PM-6AM),MC-105,Assembly Line A,Assembly,3,OP-014,Bracket-A,480,54,Changeover,426,0.68,0.7709,626,552,546,6
1/2/24,Night (10PM-6AM),MC-106,Assembly Line B,Assembly,10,OP-012,Gear-C,480,192,Unplanned Breakdown,288,0.72,1.2781,266,225,206,19
1/2/24,Night (10PM-6AM),MC-107,Stamping Press 1,Stamping Press,7,OP-018,Gear-C,480,220,Unplanned Breakdown,260,0.21,0.364,825,714,688,26
1/2/24,Night (10PM-6AM),MC-108,Stamping Press 2,Stamping Press,18,OP-005,Housing-B,480,89,Unplanned Breakdown,391,0.24,0.3967,1253,985,837,148
1/3/24,Morning (6AM-2PM),MC-101,CNC Lathe A,CNC Lathe,8,OP-008,Gear-C,480,40,Material Shortage,440,0.52,0.7916,564,555,523,32
1/3/24,Morning (6AM-2PM),MC-102,CNC Lathe B,CNC Lathe,12,OP-007,Valve-D,480,0,None,480,0.58,0.7302,689,657,612,45
1/3/24,Morning (6AM-2PM),MC-103,Injection Molder 1,Injection Molder,5,OP-017,Valve-D,480,50,Planned Maintenance,430,0.31,0.4083,1155,1053,1021,32
1/3/24,Morning (6AM-2PM),MC-104,Injection Molder 2,Injection Molder,15,OP-019,Housing-B,480,0,None,480,0.35,0.5139,1054,934,803,131
1/3/24,Morning (6AM-2PM),MC-105,Assembly Line A,Assembly,3,OP-006,Bracket-A,480,73,Material Shortage,407,0.68,0.6978,598,583,575,8
1/3/24,Morning (6AM-2PM),MC-106,Assembly Line B,Assembly,10,OP-019,Bracket-A,480,0,None,480,0.72,0.735,666,653,607,46
1/3/24,Morning (6AM-2PM),MC-107,Stamping Press 1,Stamping Press,7,OP-001,Housing-B,480,0,None,480,0.21,0.2992,1758,1604,1546,58
1/3/24,Morning (6AM-2PM),MC-108,Stamping Press 2,Stamping Press,18,OP-016,Bracket-A,480,0,None,480,0.24,0.2768,2000,1734,1583,151
1/3/24,Afternoon (2PM-10PM),MC-101,CNC Lathe A,CNC Lathe,8,OP-020,Housing-B,480,0,None,480,0.52,0.7868,710,610,572,38
1/3/24,Afternoon (2PM-10PM),MC-102,CNC Lathe B,CNC Lathe,12,OP-013,Bracket-A,480,0,None,480,0.58,0.6712,827,715,658,57
1/3/24,Afternoon (2PM-10PM),MC-103,Injection Molder 1,Injection Molder,5,OP-010,Bracket-A,480,0,None,480,0.31,0.3399,1548,1412,1378,34
1/3/24,Afternoon (2PM-10PM),MC-104,Injection Molder 2,Injection Molder,15,OP-006,Housing-B,480,0,None,480,0.35,0.5556,1054,863,771,92
1/3/24,Afternoon (2PM-10PM),MC-105,Assembly Line A,Assembly,3,OP-006,Gear-C,480,146,Unplanned Breakdown,334,0.68,1.1249,327,296,292,4
1/3/24,Afternoon (2PM-10PM),MC-106,Assembly Line B,Assembly,10,OP-005,Housing-B,480,62,Material Shortage,418,0.72,1.0105,446,413,376,37
1/3/24,Afternoon (2PM-10PM),MC-107,Stamping Press 1,Stamping Press,7,OP-019,Housing-B,480,0,None,480,0.21,0.2934,1758,1635,1546,89
1/3/24,Afternoon (2PM-10PM),MC-108,Stamping Press 2,Stamping Press,18,OP-017,Bracket-A,480,0,None,480,0.24,0.2955,2000,1624,1355,269
1/3/24,Night (10PM-6AM),MC-101,CNC Lathe A,CNC Lathe,8,OP-006,Bracket-A,480,40,Changeover,440,0.52,0.605,846,727,687,40
1/3/24,Night (10PM-6AM),MC-102,CNC Lathe B,CNC Lathe,12,OP-012,Bracket-A,480,32,Material Shortage,448,0.58,0.7217,772,620,582,38
1/3/24,Night (10PM-6AM),MC-103,Injection Molder 1,Injection Molder,5,OP-014,Bracket-A,480,57,Changeover,423,0.31,0.3571,1364,1184,1159,25
1/3/24,Night (10PM-6AM),MC-104,Injection Molder 2,Injection Molder,15,OP-006,Housing-B,480,0,None,480,0.35,0.5494,1054,873,757,116
1/3/24,Night (10PM-6AM),MC-105,Assembly Line A,Assembly,3,OP-018,Connector-E,480,108,Unplanned Breakdown,372,0.68,0.7254,607,512,504,8
1/3/24,Night (10PM-6AM),MC-106,Assembly Line B,Assembly,10,OP-013,Valve-D,480,124,Unplanned Breakdown,356,0.72,1.0367,412,343,320,23
1/3/24,Night (10PM-6AM),MC-107,Stamping Press 1,Stamping Press,7,OP-007,Valve-D,480,231,Unplanned Breakdown,249,0.21,0.2885,988,863,840,23
1/3/24,Night (10PM-6AM),MC-108,Stamping Press 2,Stamping Press,18,OP-011,Bracket-A,480,57,Changeover,423,0.24,0.31,1762,1364,1229,135
1/4/24,Morning (6AM-2PM),MC-101,CNC Lathe A,CNC Lathe,8,OP-001,Gear-C,480,0,None,480,0.52,0.8044,615,596,561,35
1/4/24,Morning (6AM-2PM),MC-102,CNC Lathe B,CNC Lathe,12,OP-012,Housing-B,480,0,None,480,0.58,0.7878,636,609,556,53
1/4/24,Morning (6AM-2PM),MC-103,Injection Molder 1,Injection Molder,5,OP-007,Gear-C,480,0,None,480,0.31,0.4652,1032,1031,988,43
1/4/24,Morning (6AM-2PM),MC-104,Injection Molder 2,Injection Molder,15,OP-008,Gear-C,480,60,Material Shortage,420,0.35,0.5993,800,700,602,98
1/4/24,Morning (6AM-2PM),MC-105,Assembly Line A,Assembly,3,OP-011,Gear-C,480,0,None,480,0.68,1.0321,470,465,457,8
1/4/24,Morning (6AM-2PM),MC-106,Assembly Line B,Assembly,10,OP-001,Bracket-A,480,45,Planned Maintenance,435,0.72,0.7518,604,578,544,34
1/4/24,Morning (6AM-2PM),MC-107,Stamping Press 1,Stamping Press,7,OP-001,Bracket-A,480,0,None,480,0.21,0.2136,2285,2247,2177,70
1/4/24,Morning (6AM-2PM),MC-108,Stamping Press 2,Stamping Press,18,OP-016,Gear-C,480,0,None,480,0.24,0.4047,1333,1186,981,205
1/4/24,Afternoon (2PM-10PM),MC-101,CNC Lathe A,CNC Lathe,8,OP-009,Connector-E,480,0,None,480,0.52,0.5371,1025,893,851,42
1/4/24,Afternoon (2PM-10PM),MC-102,CNC Lathe B,CNC Lathe,12,OP-017,Gear-C,480,31,Changeover,449,0.58,0.9452,516,475,429,46
1/4/24,Afternoon (2PM-10PM),MC-103,Injection Molder 1,Injection Molder,5,OP-004,Connector-E,480,0,None,480,0.31,0.321,1720,1495,1464,31
1/4/24,Afternoon (2PM-10PM),MC-104,Injection Molder 2,Injection Molder,15,OP-007,Housing-B,480,0,None,480,0.35,0.5371,1054,893,774,119
1/4/24,Afternoon (2PM-10PM),MC-105,Assembly Line A,Assembly,3,OP-009,Connector-E,480,211,Unplanned Breakdown,269,0.68,0.643,439,418,414,4
1/4/24,Afternoon (2PM-10PM),MC-106,Assembly Line B,Assembly,10,OP-015,Valve-D,480,0,None,480,0.72,1.0097,555,475,439,36
1/4/24,Afternoon (2PM-10PM),MC-107,Stamping Press 1,Stamping Press,7,OP-008,Connector-E,480,256,Unplanned Breakdown,224,0.21,0.2088,1185,1072,1047,25
1/4/24,Afternoon (2PM-10PM),MC-108,Stamping Press 2,Stamping Press,18,OP-009,Connector-E,480,0,None,480,0.24,0.2606,2222,1841,1655,186
1/4/24,Night (10PM-6AM),MC-101,CNC Lathe A,CNC Lathe,8,OP-003,Connector-E,480,34,Planned Maintenance,446,0.52,0.5416,952,823,799,24
1/4/24,Night (10PM-6AM),MC-102,CNC Lathe B,CNC Lathe,12,OP-007,Valve-D,480,0,None,480,0.58,0.8947,689,536,481,55
1/4/24,Night (10PM-6AM),MC-103,Injection Molder 1,Injection Molder,5,OP-001,Connector-E,480,40,Planned Maintenance,440,0.31,0.3267,1577,1346,1326,20
1/4/24,Night (10PM-6AM),MC-104,Injection Molder 2,Injection Molder,15,OP-001,Bracket-A,480,0,None,480,0.35,0.4538,1371,1057,923,134
1/4/24,Night (10PM-6AM),MC-105,Assembly Line A,Assembly,3,OP-005,Housing-B,480,0,None,480,0.68,1.101,542,435,425,10
1/4/24,Night (10PM-6AM),MC-106,Assembly Line B,Assembly,10,OP-010,Bracket-A,480,71,Material Shortage,409,0.72,0.8698,568,470,452,18
1/4/24,Night (10PM-6AM),MC-107,Stamping Press 1,Stamping Press,7,OP-017,Gear-C,480,0,None,480,0.21,0.3696,1523,1298,1214,84
1/4/24,Night (10PM-6AM),MC-108,Stamping Press 2,Stamping Press,18,OP-009,Housing-B,480,90,Unplanned Breakdown,390,0.24,0.4006,1250,973,860,113
1/5/24,Morning (6AM-2PM),MC-101,CNC Lathe A,CNC Lathe,8,OP-013,Valve-D,480,81,Material Shortage,399,0.52,0.6722,639,593,568,25
1/5/24,Morning (6AM-2PM),MC-102,CNC Lathe B,CNC Lathe,12,OP-010,Connector-E,480,0,None,480,0.58,0.5521,919,869,819,50
1/5/24,Morning (6AM-2PM),MC-103,Injection Molder 1,Injection Molder,5,OP-015,Housing-B,480,0,None,480,0.31,0.4075,1191,1177,1148,29
1/5/24,Morning (6AM-2PM),MC-104,Injection Molder 2,Injection Molder,15,OP-017,Housing-B,480,48,Changeover,432,0.35,0.5068,949,852,772,80
1/5/24,Morning (6AM-2PM),MC-105,Assembly Line A,Assembly,3,OP-014,Connector-E,480,57,Material Shortage,423,0.68,0.6256,691,676,665,11
1/5/24,Morning (6AM-2PM),MC-106,Assembly Line B,Assembly,10,OP-019,Valve-D,480,74,Unplanned Breakdown,406,0.72,0.8888,469,456,427,29
1/5/24,Morning (6AM-2PM),MC-107,Stamping Press 1,Stamping Press,7,OP-001,Bracket-A,480,56,Changeover,424,0.21,0.2129,2019,1991,1938,53
1/5/24,Morning (6AM-2PM),MC-108,Stamping Press 2,Stamping Press,18,OP-004,Housing-B,480,69,Material Shortage,411,0.24,0.3564,1317,1153,1006,147
1/5/24,Afternoon (2PM-10PM),MC-101,CNC Lathe A,CNC Lathe,8,OP-007,Connector-E,480,198,Unplanned Breakdown,282,0.52,0.5152,602,547,519,28
1/5/24,Afternoon (2PM-10PM),MC-102,CNC Lathe B,CNC Lathe,12,OP-010,Housing-B,480,0,None,480,0.58,0.847,636,566,527,39
1/5/24,Afternoon (2PM-10PM),MC-103,Injection Molder 1,Injection Molder,5,OP-016,Gear-C,480,0,None,480,0.31,0.4987,1032,962,939,23
1/5/24,Afternoon (2PM-10PM),MC-104,Injection Molder 2,Injection Molder,15,OP-018,Gear-C,480,55,Changeover,425,0.35,0.6293,809,675,564,111
1/5/24,Afternoon (2PM-10PM),MC-105,Assembly Line A,Assembly,3,OP-014,Connector-E,480,0,None,480,0.68,0.7033,784,682,672,10
1/5/24,Afternoon (2PM-10PM),MC-106,Assembly Line B,Assembly,10,OP-006,Connector-E,480,0,None,480,0.72,0.6963,740,689,653,36
1/5/24,Afternoon (2PM-10PM),MC-107,Stamping Press 1,Stamping Press,7,OP-005,Gear-C,480,47,Material Shortage,433,0.21,0.3355,1374,1290,1235,55
